image,english,chinese,french
https://picsum.photos/id/40/400/300,There once was a orange cat named Mango who lived in a little blue house,从前有一只橘猫叫芒果住在一栋蓝色小房子里,Il était une fois un chat orange nommé Mangue qui vivait dans une petite maison bleue
https://picsum.photos/id/349/400/300,Every day Mango sat by the window and watched the birds fly past,每天芒果都坐在窗边看小鸟飞过,Chaque jour Mangue s'asseyait à la fenêtre et regardait les oiseaux passer
https://picsum.photos/id/152/400/300,One morning someone left the door open just a crack,一天早上有人把门留了一条缝,Un matin quelqu'un a laissé la porte entrouverte
https://picsum.photos/id/106/400/300,Mango squeezed through and felt the grass under his paws for the first time,芒果挤了出去第一次感受到脚下的青草,Mangue s'est faufilé dehors et a senti l'herbe sous ses pattes pour la première fois
https://picsum.photos/id/28/400/300,The garden was enormous and full of smells he had no name for,花园好大好大到处是他叫不出名字的味道,Le jardin était immense et plein d'odeurs qu'il ne savait pas nommer
https://picsum.photos/id/237/400/300,A friendly dog said hey little cat where are you going,一只友善的狗说嘿小猫你去哪里呀,Un chien amical lui dit hé petit chat où vas-tu
https://picsum.photos/id/219/400/300,Mango said I am going to see the whole world,芒果说我要去看看整个世界,Mangue a dit je vais voir le monde entier
https://picsum.photos/id/142/400/300,He walked past the red mailbox where the road begins,他走过了路口那个红色邮筒,Il est passé devant la boîte aux lettres rouge où commence la route
https://picsum.photos/id/26/400/300,He crossed a bridge over a stream that sparkled like glitter,他走过一座小桥桥下的溪水像亮片一样闪闪发光,Il a traversé un pont au-dessus d'un ruisseau qui brillait comme des paillettes
https://picsum.photos/id/10/400/300,The forest was dark and cool and smelled like rain,森林又暗又凉闻起来像雨的味道,La forêt était sombre et fraîche et sentait la pluie
https://picsum.photos/id/13/400/300,A squirrel dropped an acorn on his head bonk,一只松鼠把橡子掉到他头上砰的一声,Un écureuil a fait tomber un gland sur sa tête bonk
https://picsum.photos/id/20/400/300,He found a lake so still it looked like a giant mirror,他发现了一个湖安静得像一面巨大的镜子,Il a trouvé un lac si calme qu'il ressemblait à un miroir géant
https://picsum.photos/id/177/400/300,A duck said you are very far from home little cat,一只鸭子说小猫你离家很远了哦,Un canard a dit tu es très loin de chez toi petit chat
https://picsum.photos/id/16/400/300,Mango looked up at the big mountain and felt very small,芒果抬头看着大山觉得自己好小好小,Mangue a regardé la grande montagne et s'est senti tout petit
https://picsum.photos/id/15/400/300,Then the rain came and Mango hid under a big leaf,然后下雨了芒果躲在一片大叶子下面,Puis la pluie est arrivée et Mangue s'est caché sous une grande feuille
https://picsum.photos/id/167/400/300,A kind owl said follow the lights and they will take you home,一只好心的猫头鹰说跟着灯光走它们会带你回家,Un hibou gentil a dit suis les lumières elles te ramèneront chez toi
https://picsum.photos/id/119/400/300,The stars came out one by one like someone was turning on nightlights,星星一颗一颗亮起来就像有人在开小夜灯,Les étoiles sont apparues une à une comme si quelqu'un allumait des veilleuses
https://picsum.photos/id/134/400/300,Mango followed the warm glow of streetlamps back through the town,芒果跟着温暖的路灯光穿过小镇走回去,Mangue a suivi la lueur chaude des réverbères à travers la ville
https://picsum.photos/id/237/400/300,The same friendly dog said welcome back little adventurer,那只友善的狗说欢迎回来小冒险家,Le même chien amical a dit bon retour petit aventurier
https://picsum.photos/id/349/400/300,Mango slipped back through the door that was still open a crack,芒果从那条还开着的门缝溜了回去,Mangue s'est glissé par la porte encore entrouverte
https://picsum.photos/id/40/400/300,He curled up on his favorite blanket warm and dry and safe,他蜷在最喜欢的毯子上又暖又干又安全,Il s'est blotti sur sa couverture préférée au chaud au sec en sécurité
https://picsum.photos/id/152/400/300,But the next morning he checked if the door was open again,但是第二天早上他又去看门有没有开,Mais le lendemain matin il a vérifié si la porte était encore ouverte
